Rowid,VALUE *,COUNT,FOR_CATEGORY,FOR_TYPE,FOR_CODE,COVER_CODE,HT_CODE,FOREST,STATE,FOR_SOURCE
540,541,171599,Native forest,Eucalypt Medium Open,44,2,2,1,Tas,Aus_For18
541,542,46250,Native forest,Eucalypt Tall Open,45,2,3,1,Tas,Tas Forest Comms
542,543,3888,Native forest,Melaleuca,69,3,2,1,Tas,Aus_For18
543,544,367,Native forest,Melaleuca,69,3,2,1,Tas,Tas Forest Comms
544,545,1028198,Native forest,Eucalypt Medium Woodland,41,1,2,1,Tas,Aus_For18
545,546,13261,Native forest,Melaleuca,65,2,1,1,Tas,Aus_For18
546,547,2168,Native forest,Melaleuca,66,3,1,1,Tas,Aus_For18
547,548,42458,Native forest,Other native forest,74,2,1,1,Tas,Aus_For18
548,549,825577,Native forest,Eucalypt Tall Open,45,2,3,1,Tas,Aus_For18
549,550,1768,Other forest,Other forest - unallocated type,90,5,5,1,Tas,Tas Forest Comms
550,551,202606,Commercial plantation,Hardwood plantation,91,4,4,1,Tas,NPI spatial
551,552,22245,Other forest,Other forest - unallocated type,90,5,5,1,Tas,NVIS 6.0
552,553,3881,Native forest,Other native forest,10,3,2,1,Tas,Aus_For18
553,554,81193,Commercial plantation,Softwood plantation,92,4,4,1,Tas,NPI spatial
554,555,61,Other forest,Other forest - unallocated type,85,2,1,1,Tas,NVIS 6.0
555,556,566,Native forest,Eucalypt Medium Woodland,41,1,2,1,Tas,NVIS 6.0
556,557,1103,Native forest,Eucalypt Medium Open,44,2,2,1,Tas,NVIS 6.0
557,558,5237,Native forest,Casuarina,30,3,2,1,Tas,Aus_For18
558,559,3184,Native forest,Acacia,7,3,1,1,Tas,Aus_For18
559,560,2163,Native forest,Eucalypt Tall Open,45,2,3,1,Tas,NVIS 6.0
560,561,53794,Native forest,Acacia,8,3,2,1,Tas,Aus_For18
561,562,8938,Native forest,Eucalypt Low Open,43,2,1,1,Tas,Tas Forest Comms
562,563,59132,Native forest,Eucalypt Low Woodland,40,1,1,1,Tas,Aus_For18
563,564,345,Native forest,Other native forest,73,1,1,1,Tas,Aus_For18
564,565,653,Native forest,Casuarina,29,2,2,1,Tas,Aus_For18
565,566,51779,Native forest,Eucalypt Low Open,43,2,1,1,Tas,Aus_For18
566,567,111,Native forest,Casuarina,30,3,2,1,Tas,Tas Forest Comms
567,568,204,Native forest,Casuarina,28,1,2,1,Tas,Aus_For18
568,569,6042,Native forest,Eucalypt Low Closed,46,3,1,1,Tas,Aus_For18
569,570,667,Native forest,Callitris,23,3,2,1,Tas,Aus_For18
570,571,20,Native forest,Callitris,16,1,1,1,Tas,Aus_For18
571,572,8,Native forest,Eucalypt Low Open,43,2,1,1,Tas,NVIS 6.0
572,573,19,Native forest,Callitris,20,2,2,1,Tas,Aus_For18
573,574,65,Native forest,Callitris,17,1,2,1,Tas,Aus_For18
574,575,40907,Native forest,Eucalypt Medium Woodland,41,1,2,1,Tas,Tas Forest Comms
575,576,36080,Native forest,Eucalypt Medium Open,44,2,2,1,Tas,Tas Forest Comms
576,577,24,Native forest,Callitris,20,2,2,1,Tas,Tas Forest Comms
577,578,737,Native forest,Melaleuca,67,1,2,1,Tas,Aus_For18
578,579,170,Native forest,Other native forest,76,1,2,1,Tas,Aus_For18
579,580,683,Native forest,Melaleuca,65,2,1,1,Tas,Tas Forest Comms
580,581,23,Native forest,Melaleuca,68,2,2,1,Tas,Tas Forest Comms
581,582,245,Native forest,Melaleuca,68,2,2,1,Tas,Aus_For18
582,583,327,Native forest,Melaleuca,66,3,1,1,Tas,Tas Forest Comms
583,584,493623,Native forest,Rainforest,98,3,2,1,Tas,Aus_For18
584,585,6727,Native forest,Other native forest,84,3,1,1,Tas,Aus_For18
585,586,8,Native forest,Casuarina,25,1,1,1,Tas,Tas Forest Comms
586,587,38,Native forest,Melaleuca,67,1,2,1,Tas,Tas Forest Comms
587,588,4428,Native forest,Other native forest,77,2,2,1,Tas,Aus_For18
588,589,7,Native forest,Casuarina,25,1,1,1,Tas,Aus_For18
589,590,7753,Native forest,Acacia,5,2,2,1,Tas,Aus_For18
590,591,88,Native forest,Melaleuca,70,1,3,1,Tas,Tas Forest Comms
591,592,1684,Native forest,Melaleuca,70,1,3,1,Tas,Aus_For18
592,593,177,Native forest,Melaleuca,71,2,3,1,Tas,Aus_For18
593,594,2366,Native forest,Acacia,8,3,2,1,Tas,Tas Forest Comms
594,595,1,Native forest,Melaleuca,68,2,2,1,Tas,NVIS 6.0
595,596,7504,Native forest,Acacia,2,1,2,1,Tas,Aus_For18
596,597,570,Native forest,Acacia,5,2,2,1,Tas,Tas Forest Comms
597,598,3977,Commercial plantation,Mixed species plantation,93,4,4,1,Tas,NPI spatial
598,599,530,Other forest,Other forest - unallocated type,89,3,2,1,Tas,NVIS 6.0
599,600,167,Native forest,Acacia,8,3,2,1,Tas,NVIS 6.0
600,601,82,Native forest,Melaleuca,71,2,3,1,Tas,Tas Forest Comms
601,602,1262,Native forest,Acacia,6,2,3,1,Tas,Aus_For18
602,603,81,Native forest,Acacia,1,1,1,1,Tas,NVIS 6.0
603,604,247,Native forest,Other native forest,9,1,3,1,Tas,Aus_For18
604,605,414,Other forest,Other forest - unallocated type,83,1,3,1,Tas,NVIS 6.0
605,606,217,Other forest,Other forest - unallocated type,82,1,2,1,Tas,NVIS 6.0
606,607,2987,Native forest,Rainforest,96,3,1,1,Tas,Aus_For18
607,608,299,Native forest,Rainforest,98,3,2,1,Tas,NVIS 6.0
608,609,18820,Native forest,Rainforest,99,2,3,1,Tas,Aus_For18
609,610,197,Other forest,Other forest - unallocated type,87,2,3,1,Tas,NVIS 6.0
610,611,63076,Native forest,Rainforest,33,1,3,1,Tas,Aus_For18
611,612,60,Native forest,Acacia,6,2,3,1,Tas,Tas Forest Comms
612,613,8,Native forest,Acacia,5,2,2,1,Tas,NVIS 6.0
613,614,673,Non-forest,Non-forest,0,6,6,0,Tas,CLUM
614,615,1490,Native forest,Acacia,4,2,1,1,Tas,Aus_For18
615,616,5580,Native forest,Rainforest,98,3,2,1,Tas,Tas Forest Comms
616,617,423,Native forest,Acacia,2,1,2,1,Tas,Tas Forest Comms
617,618,13984,Native forest,Rainforest,97,2,2,1,Tas,Aus_For18
618,619,62,Other forest,Other forest - unallocated type,86,2,2,1,Tas,Tas Forest Comms
619,620,273,Other forest,Other forest - unallocated type,86,2,2,1,Tas,NVIS 6.0
620,621,121,Native forest,Other native forest,10,3,2,1,Tas,NVIS 6.0
621,622,193,Native forest,Rainforest,99,2,3,1,Tas,Tas Forest Comms
622,623,184,Native forest,Acacia,7,3,1,1,Tas,Tas Forest Comms
623,624,489,Native forest,Rainforest,33,1,3,1,Tas,Tas Forest Comms
624,625,407,Native forest,Rainforest,96,3,1,1,Tas,Tas Forest Comms
625,626,65,Native forest,Eucalypt Tall Woodland,42,1,3,1,Tas,NVIS 6.0
626,627,26,Other forest,Other forest - unallocated type,88,3,1,1,Tas,NVIS 6.0
627,628,14,Native forest,Melaleuca,65,2,1,1,Tas,NVIS 6.0
628,629,69,Native forest,Other native forest,76,1,2,1,Tas,Tas Forest Comms
629,630,209,Native forest,Other native forest,80,2,3,1,Tas,Aus_For18
630,631,73,Native forest,Other native forest,73,1,1,1,Tas,Tas Forest Comms
631,632,63,Native forest,Other native forest,84,3,1,1,Tas,Tas Forest Comms
632,633,51,Other forest,Other forest - unallocated type,83,1,3,1,Tas,Tas Forest Comms
633,634,1,Native forest,Other native forest,9,1,3,1,Tas,Tas Forest Comms
634,635,242,Native forest,Melaleuca,64,1,1,1,Tas,Aus_For18
635,636,17,Native forest,Rainforest,99,2,3,1,Tas,NVIS 6.0
636,637,155,Native forest,Melaleuca,64,1,1,1,Tas,Tas Forest Comms
